City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
630,Mwene-Ditu,CD,72.66,overcast clouds,-7,23.45,Hôtel Kamas
642,Takoradi,GH,83.17,light rain,4.8845,-1.7554,Raybow International Hotel
643,Belmonte,BR,84.2,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
644,Manta,EC,77,light rain,-0.95,-80.7333,Balandra Hotel
651,The+Valley,AI,82.4,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
652,Pindiga,NG,84.2,haze,9.9833,10.9333,Accommodation Center
653,Petrolina,BR,87.8,broken clouds,-9.3986,-40.5008,JB Hotel
655,Amalapuram,IN,77,mist,16.5833,82.0167,swayamprabha service apartments
657,Itarema,BR,86.94,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
658,Buta,CD,80.89,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
660,Abeche,TD,81.66,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
661,Rurrenabaque,BO,81.3,overcast clouds,-14.4413,-67.5278,Casa de Campo
663,Ouro+Preto+Do+Oeste,BR,81.55,broken clouds,-10.7481,-62.2158,Graúna Resort Hotel
664,Manoel+Urbano,BR,83.5,scattered clouds,-8.8389,-69.2597,Baixada Beira Rio
666,Portobelo,PA,82,scattered clouds,9.55,-79.65,Scuba Portobelo
668,Jiwani,PK,70.36,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
677,Palmeira,BR,71.26,overcast clouds,-25.4294,-50.0064,Hotel Vereda
685,Namibe,AO,75.81,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
688,Placido+De+Castro,BR,81.39,broken clouds,-10.3353,-67.1856,Hotel Carioca
690,Salvador,SV,87.8,few clouds,13.8333,-88.9167,Chico's Ranch
691,Rio+Grande,BR,84.2,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
697,San+Pedro+Sula,HN,80.01,broken clouds,15.5,-88.0333,Hotel Martell
702,Porto+Velho,BR,86,broken clouds,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
703,Kudahuvadhoo,MV,81.28,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
704,Alenquer,BR,82.4,broken clouds,-1.9417,-54.7383,Josilene Castro
706,Xuddur,SO,78.98,clear sky,4.1213,43.8894,Banjanay Hotel
707,San+Carlos+Del+Zulia,VE,87.62,few clouds,9,-71.9135,Hotel El Manantial
710,Road+Town,VG,75.2,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
712,Aruppukkottai,IN,77.63,scattered clouds,9.5167,78.1,Karadi Lodge
716,Benguela,AO,79.34,broken clouds,-12.5763,13.4055,Hotel Praia Morena
717,Jacareacanga,BR,76.73,moderate rain,-6.2222,-57.7528,Casa do Ian😎
